id,stagename
1,Adam Sandler
2,Adam Scott
3,Adam West
4,Adam Wohl
5,Adelaide Clemens
6,Ade Sapara
7,Adharvaa Murali
8,Adolphe Menjou
9,Adriano Celentano
10,Adrienne Barbeau
11,Adrienne Barrett
12,Adrienne Corri
13,Agostina Belli
14,Ahn Sung-Ki
15,Aidan Quinn
16,Aileen Quinn
17,Ai Maeda
18,Aishwarya Rai Bachchan
19,Ajay Devgan
20,A.J. Buckley
21,Ajita Wilson
22,Ajith Kumar
23,A.J. Trauth
24,Akarin Akaranitimaytharatt
25,Akshaye Khanna
26,Akshay Kumar
27,Alan Arkin
28,Alan Bates
29,Alan Bridges
30,Alan Ladd
31,Alan Rickman
32,Alan Tam
33,Alastair Sim
34,Albert Brooks
35,Albert Dekker
36,Albert Finney
37,Alberto Di Stasio
38,Alberto Sordi
39,Albert R. Broccoli
40,Alec Baldwin
41,Alec Guinness
42,Alex Frost
43,Alycia Debnam-Carey
44,Ameesha Patel
45,Amitabh Bachchan
46,Amrita Rao
47,Anatole de Grunwald
48,Andy Lau
49,Angela Pell
50,Anil Kapoor
51,Ann-Margret
52,Anthony D'Souza
53,Antonio Lucarella
54,Anuwat Tharapan
55,Arnold Bennett
56,A. R. Rahman
57,Arshad Warsi
58,Arthur Hiller
59,Arthur Sheekman
60,Ayako Kawasumi
61,Badri Venkatesh
62,Barbara Bach
63,Barbara S. Harper
64,Ben Roseman
65,Bette Davis
66,Bhushan Kumar
67,Bipasha Basu
68,B. Lenin
69,Boney Kapoor
70,Brian Desmond Hurst
71,Brian Donlevy
72,Brianna Brown
73,Brittany Snow
74,Broken Social Scene
75,Bruno VeSota
76,Caleb Deschanel
77,Cariba Heine
78,Carol Burnett
79,Carol Sobieski
80,Carrie-Anne Moss
81,Catherine Spaak
82,Cesare Canevari
83,Cesare Ferrario
84,Charles Dickens
85,Chokchai Pechpanna
86,Chris Columbus
87,Christopher Walken
88,Claire Bloom
89,Clive Exton
90,Cochi Ponzoni
91,Corey Yuen Kwai
92,Daniel Defoe
93,Daphne Du Maurier
94,Daryl Goldberg
95,Daryl Hannah
96,David Mason Daniels
97,David Schmoeller
98,Dean Jagger
99,Debbie Reynolds
100,Dhilin Mehta
101,Diane Findlay
102,Dino Risi
103,Dominic Frontiere
104,Douglas Dick
105,Elvis Payne
106,Emlyn Williams
107,Eric Ambler
108,Ezhil
109,Frank Coraci
110,Frank Launder
111,Frank Partos
112,Fulvio Ricciardi
113,George Cole
114,George Marshall
115,Gil Doud
116,Giorgio Bianchi
117,Giovanni Grimaldi
118,Giulietta Masina
119,Giuseppe Catalano
120,Glenda Jackson
121,Glynis Johns
122,Gordon Parry
123,Greta Scacchi
124,Herbert B. Leonard
125,Herb Nanas
126,Himesh Reshammiya
127,Holly Fields
128,Hugh Whitemore
129,Hyeon-jun Shin
130,Hyun-chul Oh
131,Ian Colin
132,Ida Chan
133,Irving Allen
134,Irving Pichel
135,Jack Giarraputo
136,James Foley
137,Jane Murfin
138,J. Carrol Naish
139,Jeff Cardoni
140,Jena Woodburn
141,Jennifer Grey
142,Jennifer Lyons
143,Jimmy Heung
144,Jim Thompson
145,John Huston
146,John Parker
147,John Turturro
148,Joseph Petracca
149,Judd Apatow
150,Julian Zimet
151,Jyothika
152,Karel Reisz
153,Kate Beckinsale
154,Kate McKinney
155,Kathleen Harrison
156,Kavee Kalidas
157,Keiichi Sigsawa
158,Kim Basinger
159,Kim Koby
160,Krissanapong Rachata
161,Kwang-chun Park
162,Lara Dutta
163,Laurence Olivier
164,Lee Toland Krieger
165,Leo Genn
166,Leonard Mann
167,Leslie Fenton
168,Leslie Mann
169,Lili Damita
170,Lillie Hayward
171,Lionel Lindon
172,Loretta Young
173,Luciana Corda
174,Luigi Pistilli
175,Luigi Zampa
176,Madhu Muttam
177,Mara Berni
178,Marc Evans
179,Marc Shaiman
180,Maria Perschy
181,Mark O'Keefe
182,Matthew Modine
183,Maurizio Arena
184,Megan Lusk
185,Meg Tilly
186,Mervyn Johns
187,Michael Baumgarten
188,Michael Curtiz
189,Michael Hawes
190,Michael Madsen
191,Mike Figgis
192,Mona Washbourne
193,Nanda Primavera
194,Nasser
195,Neeraj Vora
196,Nicholas Brendon
197,Nicole Maurey
198,Nisan Takahashi
199,Noel Langley
200,Noriaki Yuasa
201,Oliver Robins
202,Olivia de Havilland
203,Oreste Biancoli
204,Peter Graham Scott
205,Pornwipa Watcharakaroon
206,Prasanna
207,Priyadarshan
208,Priyanka Trivedi
209,Rajat Rawail
210,Raj Kanwar
211,Raoul Walsh
212,Raymond Chandler
213,R. B. Choudary
214,Rebecca West
215,Renato Pozzetto
216,Reuben Figueroa
217,Richard Kraft
218,Rita Moreno
219,Robert Hamer
220,Rob Morrow
221,Rodolfo Sonego
222,Roger Donaldson
223,Ronald Harwood
224,Ronald Neame
225,Ronald Shiner
226,Ruggero Maccari
227,Ryuji Aigase
228,Ryutaro Nakamura
229,Sabatino Ciuffini
230,Sadayuki Murai
231,Salman Khan
232,Samantha Ruth Prabhu
233,Sam Freeman
234,Samir Karnik
235,Sanjay Dutt
236,Sanjay Leela Bhansali
237,Sara Franchetti
238,S A Rajkumar
239,Scott Rudin
240,Sergio Amidei
241,Sergio Corbucci
242,Seth Rogen
243,Shankar Mahadevan
244,Shelley Winters
245,Sid Ganis
246,Sigourney Weaver
247,Simran
248,Siri Baruc
249,SJ. Surya
250,Sophie Miller
251,Steve Koren
252,Susan Hampshire
253,Susan Hayward
254,Susan Stephen
255,Takashi Watanabe
256,Teddy Castellucci
257,Terence Rattigan
258,Terence Young
259,Tetsuya Kawai
260,Thiruvenkatam
261,Thomas Meehan
262,Thomas P. Johnson
263,Tina Aumont
264,Tom McLoughlin
265,Valeria Valeri
266,Valerie Hobson
267,Veronica Lake
268,Victor Schertzinger
269,Vidya Balan
270,Vittorio De Sica
271,Vivek Oberoi
272,Vlad Paunescu
273,V. T. Vijayan
274,Wallace Smith
275,Walon Green
276,Walter Hill
277,William Bendix
278,William Russell
279,Winona Ryder
280,Woo-hyouk Lee
281,Yoshiaki Itou
282,Yuvan Shankar Raja
